erioden,Total Dutch population,First generation non-Western migrants,Second generation non-Western migrants
1997,15567107,785999,435129
1998,15654192,816207,462246
1999,15760225,853761,492274
2000,15863950,886232,522535
2001,15987075,928557,554631
2002,16105285,971700,586653
2003,16192572,1004566,618036
2004,16258032,1021074,647223
2005,16305526,1024386,674656
2006,16334210,1019991,700059
2007,16357992,1014476,723976
2008,16405399,1017184,748546
2009,16485787,1034194,775116
2010,16574989,1055265,803029
2011,16655799,1069352,829893
2012,16730348,1082001,855650
2013,16779575,1086677,879418
2014,16829289,1095731,901853
2015,16900726,1113274,925235
2016,16979120,1148449,948143
2017,17081507,1199972,973751
