Perioden,Dutch background,First generation Western migrants,Second generation Western migrants,First generation non-Western migrants,Second generation non-Western migrants
1997,13012818,524706,808455,785999,435129
1998,13033792,529512,812435,816207,462246
1999,13060991,536380,816819,853761,492274
2000,13088648,544890,821645,886232,522535
2001,13116851,560403,826633,928557,554631
2002,13140336,575379,831217,971700,586653
2003,13153814,581361,834795,1004566,618036
2004,13169880,581656,838199,1021074,647223
2005,13182809,582278,841397,1024386,674656
2006,13186595,584268,843297,1019991,700059
2007,13187586,586718,845236,1014476,723976
2008,13189983,602130,847556,1017184,748546
2009,13198081,627311,851085,1034194,775116
2010,13215386,644486,856823,1055265,803029
2011,13228780,665865,861909,1069352,829893
2012,13236155,690203,866339,1082001,855650
2013,13236494,706512,870474,1086677,879418
2014,13234545,722766,874394,1095731,901853
2015,13235405,747703,879109,1113274,925235
2016,13226829,772428,883271,1148449,948143
2017,13218754,801203,887827,1199972,973751
