erioden,Total Dutch population,First generation Western migrants,Second generation Western migrants
1997,15567107,524706,808455
1998,15654192,529512,812435
1999,15760225,536380,816819
2000,15863950,544890,821645
2001,15987075,560403,826633
2002,16105285,575379,831217
2003,16192572,581361,834795
2004,16258032,581656,838199
2005,16305526,582278,841397
2006,16334210,584268,843297
2007,16357992,586718,845236
2008,16405399,602130,847556
2009,16485787,627311,851085
2010,16574989,644486,856823
2011,16655799,665865,861909
2012,16730348,690203,866339
2013,16779575,706512,870474
2014,16829289,722766,874394
2015,16900726,747703,879109
2016,16979120,772428,883271
2017,17081507,801203,887827
