"migratieachtergrond","perioden","totaal"
"Algerije","1997",5265
"Algerije","1998",5576
"Algerije","1999",5978
"Algerije","2000",6290
"Algerije","2001",6668
"Algerije","2002",6971
"Algerije","2003",7192
"Algerije","2004",7285
"Algerije","2005",7379
"Algerije","2006",7375
"Algerije","2007",7395
"Algerije","2008",7468
"Algerije","2009",7651
"Algerije","2010",7742
"Algerije","2011",7835
"Algerije","2012",7932
"Algerije","2013",7982
"Algerije","2014",7989
"Algerije","2015",8064
"Algerije","2016",8173
"Algerije","2017",8270
"Angola","1997",3071
"Angola","1998",3352
"Angola","1999",3693
"Angola","2000",4477
"Angola","2001",5852
"Angola","2002",7962
"Angola","2003",11710
"Angola","2004",12281
"Angola","2005",11601
"Angola","2006",10476
"Angola","2007",9459
"Angola","2008",9094
"Angola","2009",9015
"Angola","2010",8934
"Angola","2011",8849
"Angola","2012",8752
"Angola","2013",8575
"Angola","2014",8495
"Angola","2015",8428
"Angola","2016",8365
"Angola","2017",8490
"Burundi","1997",245
"Burundi","1998",291
"Burundi","1999",396
"Burundi","2000",512
"Burundi","2001",733
"Burundi","2002",1119
"Burundi","2003",1581
"Burundi","2004",1931
"Burundi","2005",2274
"Burundi","2006",2661
"Burundi","2007",2977
"Burundi","2008",3228
"Burundi","2009",3380
"Burundi","2010",3478
"Burundi","2011",3432
"Burundi","2012",3349
"Burundi","2013",3281
"Burundi","2014",3275
"Burundi","2015",3243
"Burundi","2016",3288
"Burundi","2017",3243
"Congo","1997",612
"Congo","1998",650
"Congo","1999",725
"Congo","2000",856
"Congo","2001",1127
"Congo","2002",1426
"Congo","2003",1568
"Congo","2004",1616
"Congo","2005",1596
"Congo","2006",1585
"Congo","2007",1554
"Congo","2008",1545
"Congo","2009",1576
"Congo","2010",1623
"Congo","2011",1619
"Congo","2012",1604
"Congo","2013",1574
"Congo","2014",1585
"Congo","2015",1584
"Congo","2016",1578
"Congo","2017",1544
"Congo (Democratische Republiek)","1997",4795
"Congo (Democratische Republiek)","1998",5147
"Congo (Democratische Republiek)","1999",5574
"Congo (Democratische Republiek)","2000",6115
"Congo (Democratische Republiek)","2001",6828
"Congo (Democratische Republiek)","2002",7657
"Congo (Democratische Republiek)","2003",8312
"Congo (Democratische Republiek)","2004",8490
"Congo (Democratische Republiek)","2005",8337
"Congo (Democratische Republiek)","2006",8124
"Congo (Democratische Republiek)","2007",7793
"Congo (Democratische Republiek)","2008",7776
"Congo (Democratische Republiek)","2009",7889
"Congo (Democratische Republiek)","2010",7983
"Congo (Democratische Republiek)","2011",8045
"Congo (Democratische Republiek)","2012",8084
"Congo (Democratische Republiek)","2013",8134
"Congo (Democratische Republiek)","2014",8297
"Congo (Democratische Republiek)","2015",8321
"Congo (Democratische Republiek)","2016",8390
"Congo (Democratische Republiek)","2017",8438
"Egypte","1997",12101
"Egypte","1998",12738
"Egypte","1999",13635
"Egypte","2000",14398
"Egypte","2001",15165
"Egypte","2002",16108
"Egypte","2003",17026
"Egypte","2004",17873
"Egypte","2005",18528
"Egypte","2006",18995
"Egypte","2007",19266
"Egypte","2008",19568
"Egypte","2009",19976
"Egypte","2010",20599
"Egypte","2011",21073
"Egypte","2012",21373
"Egypte","2013",21783
"Egypte","2014",22205
"Egypte","2015",22700
"Egypte","2016",23198
"Egypte","2017",23956
"Eritrea","1997",189
"Eritrea","1998",243
"Eritrea","1999",306
"Eritrea","2000",359
"Eritrea","2001",444
"Eritrea","2002",543
"Eritrea","2003",655
"Eritrea","2004",712
"Eritrea","2005",794
"Eritrea","2006",855
"Eritrea","2007",926
"Eritrea","2008",1031
"Eritrea","2009",1152
"Eritrea","2010",1377
"Eritrea","2011",1628
"Eritrea","2012",1915
"Eritrea","2013",2133
"Eritrea","2014",2595
"Eritrea","2015",4743
"Eritrea","2016",8151
"Eritrea","2017",11609
"Ethiopië","1997",8264
"Ethiopië","1998",8460
"Ethiopië","1999",8696
"Ethiopië","2000",8997
"Ethiopië","2001",9392
"Ethiopië","2002",9783
"Ethiopië","2003",10120
"Ethiopië","2004",10236
"Ethiopië","2005",10292
"Ethiopië","2006",10339
"Ethiopië","2007",10454
"Ethiopië","2008",10659
"Ethiopië","2009",10946
"Ethiopië","2010",11345
"Ethiopië","2011",11547
"Ethiopië","2012",11970
"Ethiopië","2013",12270
"Ethiopië","2014",12596
"Ethiopië","2015",13709
"Ethiopië","2016",16347
"Ethiopië","2017",19528
"Gambia","1997",225
"Gambia","1998",251
"Gambia","1999",292
"Gambia","2000",335
"Gambia","2001",394
"Gambia","2002",453
"Gambia","2003",508
"Gambia","2004",561
"Gambia","2005",619
"Gambia","2006",680
"Gambia","2007",702
"Gambia","2008",733
"Gambia","2009",783
"Gambia","2010",843
"Gambia","2011",927
"Gambia","2012",1008
"Gambia","2013",1046
"Gambia","2014",1070
"Gambia","2015",1164
"Gambia","2016",1245
"Gambia","2017",1361
"Ghana","1997",13079
"Ghana","1998",13973
"Ghana","1999",14905
"Ghana","2000",15609
"Ghana","2001",16429
"Ghana","2002",17232
"Ghana","2003",17974
"Ghana","2004",18727
"Ghana","2005",19108
"Ghana","2006",19537
"Ghana","2007",19437
"Ghana","2008",19346
"Ghana","2009",19733
"Ghana","2010",20829
"Ghana","2011",21376
"Ghana","2012",21922
"Ghana","2013",22263
"Ghana","2014",22556
"Ghana","2015",22881
"Ghana","2016",23168
"Ghana","2017",23430
"Guinee","1997",418
"Guinee","1998",508
"Guinee","1999",714
"Guinee","2000",977
"Guinee","2001",1520
"Guinee","2002",2427
"Guinee","2003",3371
"Guinee","2004",3505
"Guinee","2005",3425
"Guinee","2006",3177
"Guinee","2007",2919
"Guinee","2008",3019
"Guinee","2009",3284
"Guinee","2010",3516
"Guinee","2011",3712
"Guinee","2012",3869
"Guinee","2013",3948
"Guinee","2014",4111
"Guinee","2015",4206
"Guinee","2016",4263
"Guinee","2017",4372
