"migratieachtergrond","perioden","totaal"
"Afrika","1997",355199
"Afrika","1998",373277
"Afrika","1999",393937
"Afrika","2000",413523
"Afrika","2001",436777
"Afrika","2002",461916
"Afrika","2003",486689
"Afrika","2004",501687
"Afrika","2005",510467
"Afrika","2006",516566
"Afrika","2007",521672
"Afrika","2008",529875
"Afrika","2009",543649
"Afrika","2010",562236
"Afrika","2011",577242
"Afrika","2012",590804
"Afrika","2013",600285
"Afrika","2014",612627
"Afrika","2015",626581
"Afrika","2016",641753
"Afrika","2017",657748
"Amerika","1997",449082
"Amerika","1998",461598
"Amerika","1999",480323
"Amerika","2000",498313
"Amerika","2001",519806
"Amerika","2002",539280
"Amerika","2003",554106
"Amerika","2004",564056
"Amerika","2005",571476
"Amerika","2006",576249
"Amerika","2007",580877
"Amerika","2008",588027
"Amerika","2009",598936
"Amerika","2010",610808
"Amerika","2011",621336
"Amerika","2012",630610
"Amerika","2013",637296
"Amerika","2014",643290
"Amerika","2015",651115
"Amerika","2016",659900
"Amerika","2017",669307
"Azië","1997",586613
"Azië","1998",603031
"Azië","1999",622201
"Azië","2000",637918
"Azië","2001",657558
"Azië","2002",677504
"Azië","2003",690517
"Azië","2004",699469
"Azië","2005",705035
"Azië","2006",707134
"Azië","2007",708935
"Azië","2008",714470
"Azië","2009",726646
"Azië","2010",737866
"Azië","2011",747034
"Azië","2012",757316
"Azië","2013",765621
"Azië","2014",775520
"Azië","2015",793621
"Azië","2016",826211
"Azië","2017",874846
"Europa (excl. Nederlandse achtergrond)","1997",1149025
"Europa (excl. Nederlandse achtergrond)","1998",1167519
"Europa (excl. Nederlandse achtergrond)","1999",1187061
"Europa (excl. Nederlandse achtergrond)","2000",1209012
"Europa (excl. Nederlandse achtergrond)","2001",1238682
"Europa (excl. Nederlandse achtergrond)","2002",1267861
"Europa (excl. Nederlandse achtergrond)","2003",1288479
"Europa (excl. Nederlandse achtergrond)","2004",1303662
"Europa (excl. Nederlandse achtergrond)","2005",1316219
"Europa (excl. Nederlandse achtergrond)","2006",1328064
"Europa (excl. Nederlandse achtergrond)","2007",1339242
"Europa (excl. Nederlandse achtergrond)","2008",1363223
"Europa (excl. Nederlandse achtergrond)","2009",1398450
"Europa (excl. Nederlandse achtergrond)","2010",1428461
"Europa (excl. Nederlandse achtergrond)","2011",1460931
"Europa (excl. Nederlandse achtergrond)","2012",1494803
"Europa (excl. Nederlandse achtergrond)","2013",1519080
"Europa (excl. Nederlandse achtergrond)","2014",1542277
"Europa (excl. Nederlandse achtergrond)","2015",1572649
"Europa (excl. Nederlandse achtergrond)","2016",1602379
"Europa (excl. Nederlandse achtergrond)","2017",1638193
"Oceanië","1997",14370
"Oceanië","1998",14975
"Oceanië","1999",15712
"Oceanië","2000",16536
"Oceanië","2001",17401
"Oceanië","2002",18388
"Oceanië","2003",18967
"Oceanië","2004",19278
"Oceanië","2005",19520
"Oceanië","2006",19602
"Oceanië","2007",19680
"Oceanië","2008",19821
"Oceanië","2009",20025
"Oceanië","2010",20232
"Oceanië","2011",20476
"Oceanië","2012",20660
"Oceanië","2013",20799
"Oceanië","2014",21030
"Oceanië","2015",21355
"Oceanië","2016",22048
"Oceanië","2017",22659
