"migratieachtergrond","perioden","totaal"
"Albanië","1997",218
"Albanië","1998",269
"Albanië","1999",369
"Albanië","2000",440
"Albanië","2001",542
"Albanië","2002",671
"Albanië","2003",774
"Albanië","2004",864
"Albanië","2005",903
"Albanië","2006",940
"Albanië","2007",1000
"Albanië","2008",1058
"Albanië","2009",1185
"Albanië","2010",1327
"Albanië","2011",1392
"Albanië","2012",1497
"Albanië","2013",1629
"Albanië","2014",1771
"Albanië","2015",1990
"Albanië","2016",2257
"Albanië","2017",2569
"Andorra","1997",6
"Andorra","1998",5
"Andorra","1999",4
"Andorra","2000",4
"Andorra","2001",5
"Andorra","2002",7
"Andorra","2003",7
"Andorra","2004",6
"Andorra","2005",6
"Andorra","2006",8
"Andorra","2007",9
"Andorra","2008",9
"Andorra","2009",8
"Andorra","2010",9
"Andorra","2011",9
"Andorra","2012",12
"Andorra","2013",13
"Andorra","2014",15
"Andorra","2015",17
"Andorra","2016",17
"Andorra","2017",19
"Armenië","1997",47
"Armenië","1998",54
"Armenië","1999",61
"Armenië","2000",92
"Armenië","2001",192
"Armenië","2002",268
"Armenië","2003",318
"Armenië","2004",355
"Armenië","2005",376
"Armenië","2006",387
"Armenië","2007",398
"Armenië","2008",426
"Armenië","2009",467
"Armenië","2010",520
"Armenië","2011",635
"Armenië","2012",765
"Armenië","2013",810
"Armenië","2014",854
"Armenië","2015",903
"Armenië","2016",917
"Armenië","2017",927
"Azerbeidzjan","1997",18
"Azerbeidzjan","1998",16
"Azerbeidzjan","1999",39
"Azerbeidzjan","2000",89
"Azerbeidzjan","2001",285
"Azerbeidzjan","2002",452
"Azerbeidzjan","2003",526
"Azerbeidzjan","2004",541
"Azerbeidzjan","2005",541
"Azerbeidzjan","2006",545
"Azerbeidzjan","2007",552
"Azerbeidzjan","2008",567
"Azerbeidzjan","2009",574
"Azerbeidzjan","2010",594
"Azerbeidzjan","2011",621
"Azerbeidzjan","2012",657
"Azerbeidzjan","2013",680
"Azerbeidzjan","2014",718
"Azerbeidzjan","2015",771
"Azerbeidzjan","2016",816
"Azerbeidzjan","2017",859
"België","1997",111086
"België","1998",111537
"België","1999",112015
"België","2000",112604
"België","2001",113066
"België","2002",113239
"België","2003",113239
"België","2004",113081
"België","2005",112731
"België","2006",112315
"België","2007",112224
"België","2008",112333
"België","2009",112600
"België","2010",113001
"België","2011",113513
"België","2012",114022
"België","2013",114553
"België","2014",115028
"België","2015",115687
"België","2016",116389
"België","2017",117495
"Bosnië-Herzegovina","1997",324
"Bosnië-Herzegovina","1998",361
"Bosnië-Herzegovina","1999",380
"Bosnië-Herzegovina","2000",465
"Bosnië-Herzegovina","2001",563
"Bosnië-Herzegovina","2002",626
"Bosnië-Herzegovina","2003",661
"Bosnië-Herzegovina","2004",680
"Bosnië-Herzegovina","2005",672
"Bosnië-Herzegovina","2006",665
"Bosnië-Herzegovina","2007",680
"Bosnië-Herzegovina","2008",687
"Bosnië-Herzegovina","2009",699
"Bosnië-Herzegovina","2010",722
"Bosnië-Herzegovina","2011",723
"Bosnië-Herzegovina","2012",743
"Bosnië-Herzegovina","2013",770
"Bosnië-Herzegovina","2014",804
"Bosnië-Herzegovina","2015",847
"Bosnië-Herzegovina","2016",883
"Bosnië-Herzegovina","2017",948
"Bulgarije","1997",1606
"Bulgarije","1998",1796
"Bulgarije","1999",1989
"Bulgarije","2000",2174
"Bulgarije","2001",2410
"Bulgarije","2002",2740
"Bulgarije","2003",3168
"Bulgarije","2004",3585
"Bulgarije","2005",3968
"Bulgarije","2006",4268
"Bulgarije","2007",4582
"Bulgarije","2008",8835
"Bulgarije","2009",12755
"Bulgarije","2010",15056
"Bulgarije","2011",16961
"Bulgarije","2012",19745
"Bulgarije","2013",20754
"Bulgarije","2014",21153
"Bulgarije","2015",23308
"Bulgarije","2016",25520
"Bulgarije","2017",27729
"Cyprus","1997",351
"Cyprus","1998",362
"Cyprus","1999",375
"Cyprus","2000",381
"Cyprus","2001",403
"Cyprus","2002",424
"Cyprus","2003",433
"Cyprus","2004",434
