"migratieachtergrond","perioden","totaal"
"Met migratieachtergrond","1997",2554289
"Met migratieachtergrond","1998",2620400
"Met migratieachtergrond","1999",2699234
"Met migratieachtergrond","2000",2775302
"Met migratieachtergrond","2001",2870224
"Met migratieachtergrond","2002",2964949
"Met migratieachtergrond","2003",3038758
"Met migratieachtergrond","2004",3088152
"Met migratieachtergrond","2005",3122717
"Met migratieachtergrond","2006",3147615
"Met migratieachtergrond","2007",3170406
"Met migratieachtergrond","2008",3215416
"Met migratieachtergrond","2009",3287706
"Met migratieachtergrond","2010",3359603
"Met migratieachtergrond","2011",3427019
"Met migratieachtergrond","2012",3494193
"Met migratieachtergrond","2013",3543081
"Met migratieachtergrond","2014",3594744
"Met migratieachtergrond","2015",3665321
"Met migratieachtergrond","2016",3752291
"Met migratieachtergrond","2017",3862753
"Westerse migratieachtergrond","1997",1333161
"Westerse migratieachtergrond","1998",1341947
"Westerse migratieachtergrond","1999",1353199
"Westerse migratieachtergrond","2000",1366535
"Westerse migratieachtergrond","2001",1387036
"Westerse migratieachtergrond","2002",1406596
"Westerse migratieachtergrond","2003",1416156
"Westerse migratieachtergrond","2004",1419855
"Westerse migratieachtergrond","2005",1423675
"Westerse migratieachtergrond","2006",1427565
"Westerse migratieachtergrond","2007",1431954
"Westerse migratieachtergrond","2008",1449686
"Westerse migratieachtergrond","2009",1478396
"Westerse migratieachtergrond","2010",1501309
"Westerse migratieachtergrond","2011",1527774
"Westerse migratieachtergrond","2012",1556542
"Westerse migratieachtergrond","2013",1576986
"Westerse migratieachtergrond","2014",1597160
"Westerse migratieachtergrond","2015",1626812
"Westerse migratieachtergrond","2016",1655699
"Westerse migratieachtergrond","2017",1689030
"Niet-westerse migratieachtergrond","1997",1221128
"Niet-westerse migratieachtergrond","1998",1278453
"Niet-westerse migratieachtergrond","1999",1346035
"Niet-westerse migratieachtergrond","2000",1408767
"Niet-westerse migratieachtergrond","2001",1483188
"Niet-westerse migratieachtergrond","2002",1558353
"Niet-westerse migratieachtergrond","2003",1622602
"Niet-westerse migratieachtergrond","2004",1668297
"Niet-westerse migratieachtergrond","2005",1699042
"Niet-westerse migratieachtergrond","2006",1720050
"Niet-westerse migratieachtergrond","2007",1738452
